,Comments,Label
0,আমি মনে করি যখন মেয়েরা উদ্দেশ্য অনুসারে বোবা বোবা আচরণ তখন এটি এটি খুব খুব সুন্দর,1.0
1,আমি যখন কোনও গুরুত্বপূর্ণ প্রশ্ন জিজ্ঞাসা করি এবং এবং কোনও উত্তর না না তখন আমি এটি সত্যিই পছন্দ করি।আমি আশা করি এটি চালিয়ে যায় আমি এটি এটি অনেক পছন্দ করি করি করি করি করি করি করি করি।,1.0
2,বাহ ... আমি দেখতে দেখতে পাচ্ছি সত্যিই দোষী দোষী সাব্যস্ত#নোটপ্রেসড,1.0
3,"হাহ, মজার বিষয়।#আনোয়েড #গ্রুআপ",1.0
4,থান্ডার আমাকে 830 এ জেগে উঠলে এটি ভালবাসুন,1.0
5,"আজ আমাকে খোদাই করার জন্য ধন্যবাদ, যথাযথ ভাল বন্ধু আপনি, আপনি খুশি",1.0
6,আমি এমন পরিকল্পনাগুলি পছন্দ করি যা কখনই ঘটে না।।কিছু করার দরকার!,1.0
7,"আমি যখন কাউকে দীর্ঘশ্বাস শুনি, ‘জীবন কঠিন,’ আমি সবসময় জিজ্ঞাসা করতে প্ররোচিত হই, ‘কিসের তুলনায়?’",1.0
8,"আমি বলছি না আমি আপনাকে ঘৃণা করি, আমি যা বলছি তা হ'ল আপনি আক্ষরিক অর্থে আমার জীবনের সোমবার।",1.0
9,"আমি এখনই ব্যস্ত, আমি কি আপনাকে অন্য কোনও সময় উপেক্ষা করতে পারি?",1.0
10,"""আপনি আমাকে পছন্দ না করলে ঠিক আছে।সবার ভাল স্বাদ নেই। """,1.0
11,"“আপনি যদি আমাকে আপত্তিকর মনে করেন।তারপরে আমি আপনাকে আমাকে সন্ধান করা ছেড়ে দেওয়ার পরামর্শ দিচ্ছি। """,1.0
12,"""আমার হারানোর আগে আপনার ধৈর্য সন্ধান করুন।""",1.0
13,"“আপনি কি ভাবেন যে God শ্বর পাথর মেরে ফেলেছেন?আমি তাই মনে করি ... প্লাটিপাস দেখুন। ""রবিন উইলিয়ামস, অভিনেতা",1.0
14,"“হালকা শব্দের চেয়ে দ্রুত ভ্রমণ করে।এই কারণেই কিছু লোক কথা না বলা পর্যন্ত উজ্জ্বল প্রদর্শিত হয়। """,1.0
15,বোকামির বিরুদ্ধে সার্কাসম হ'ল দেহের প্রাকৃতিক প্রতিরক্ষা।,1.0
16,“আমি কটাক্ষ ভালবাসি।এটি লোককে মুখে ঘুষি মারার মতো তবে শব্দের সাথে ”,1.0
17,"জীবন ভাল, আপনার একটি পাওয়া উচিত।",1.0
18,আমার সাবস্ক্রিপশন বাতিল করুন কারণ আমার আপনার সমস্যাগুলির প্রয়োজন নেই।,1.0
19,"""আমি তালি দিয়েছি কারণ এটি শেষ হয়েছে, আমি এটি পছন্দ করি না।""",1.0
20,আপনি যদি বলেন প্রতিটি স্মার্ট জিনিসের জন্য যদি একটি ডলার থাকে।আমি দরিদ্র হব,1.0
21,আপনি যখন কথা বলছিলেন তখন আমি দুঃখিত আমি যখন আমি যে ধারণাটি যত্ন নিয়েছিলেন তা কোথায় পেয়েছিলেন তা নির্ধারণ করার চেষ্টা করছিলাম।,1.0
22,"“না, আপনাকে নিজের পুনরাবৃত্তি করতে হবে না।আমি আপনাকে প্রথমবার উপেক্ষা করছিলাম। """,1.0
23,সারকাসম হ'ল গোপন ভাষা যা প্রত্যেকে যখন আপনার মুখের অর্থ বলতে চায় তখন তারা ব্যবহার করে।,1.0
24,যদি না আপনার নাম গুগল না হয় তবে আপনি যেমন সমস্ত কিছু জানেন তেমন অভিনয় করা বন্ধ করুন।,1.0
25,"আপনি দক্ষিণে একটি টর্নেডো এবং বিবাহবিচ্ছেদের মধ্যে পার্থক্য জানেন?কিছুই না!কেউ ট্রেলার হারাচ্ছেন, এক নম্বর।",1.0
26,"""আজ আপনাকে পছন্দ করার ভান করার শক্তি আমার কাছে নেই।""",1.0
27,আমি দুঃখিত যখন আমি আপনাকে বোকা বলি তখন আমি আপনার অনুভূতিতে আঘাত পেয়েছি।আমি সত্যিই ভেবেছিলাম আপনি ইতিমধ্যে জানেন।,1.0
28,লোকেরা কী ভাবেন তা নিয়ে চিন্তা করবেন না।তারা খুব প্রায়ই এটি করে না।,1.0
29,"যদি প্রথমে, আপনি সফল না হন, স্কাইডাইভিং আপনার পক্ষে নয়।",1.0
30,লোকেরা বলে যে হাসি হ'ল সেরা ওষুধ ... আপনার মুখটি অবশ্যই বিশ্বকে নিরাময় করবে।,1.0
31,"আমি কখনই কোনও মুখ ভুলি না, তবে আপনার ক্ষেত্রে আমি ব্যতিক্রম করতে পেরে খুশি হব।",1.0
32,সারক্যাসম them তাদের এটি উপলব্ধি না করে ইডিয়টসকে অপমান করার ক্ষমতা।,1.0
33,"আপনি যদি মনে করেন যে আপনি বেঁচে থাকলে কেউ চিন্তা করে না, তবে বেশ কয়েকটি গাড়ির পেমেন্ট মিস করার চেষ্টা করুন।",1.0
34,আমার কাল্পনিক বন্ধু বলে যে আপনার একজন চিকিত্সক দরকার।,1.0
35,ভাল কমপক্ষে আপনার মা মনে করেন আপনি সুন্দর।,1.0
36,কখনও কখনও আমার প্রয়োজন যা কেবলমাত্র আপনি সরবরাহ করতে পারেন: আপনার অনুপস্থিতি।,1.0
37,আমি কেবল যত্ন নিই না এর অর্থ এই নয় যে আমি বুঝতে পারি না।,1.0
38,যখন কিছুই সরে না যায় তখন তারা কেন এটিকে রাশ আওয়ার বলে?,1.0
39,আমার প্রতিবেশীর ডায়েরি বলে যে আমার সীমানা সংক্রান্ত সমস্যা রয়েছে।,1.0
40,আমি এখনও যে কেউ অসন্তুষ্ট হইনি তার কাছে আমি ক্ষমা চাইতে চাই।দয়া করে ধৈর্য ধরুন.আমি শীঘ্রই আপনার কাছে যাব।,1.0
