dataset,split,label_or_avg,precision,recall,f1-score,support
ben_sarc_binary,validation,0,0.8105939004815409,0.7878315132605305,0.7990506329113924,1282.0
ben_sarc_binary,validation,1,0.7936267071320182,0.8159126365054602,0.8046153846153846,1282.0
ben_sarc_binary,validation,macro avg,0.8021103038067796,0.8018720748829953,0.8018330087633885,2564.0
ben_sarc_binary,validation,weighted avg,0.8021103038067796,0.8018720748829953,0.8018330087633885,2564.0
ben_sarc_binary,test,0,0.7937356760886173,0.8104524180967239,0.8020069471246623,1282.0
ben_sarc_binary,test,1,0.8063745019920319,0.7893915756630265,0.7977926685061095,1282.0
ben_sarc_binary,test,macro avg,0.8000550890403246,0.7999219968798752,0.7998998078153858,2564.0
ben_sarc_binary,test,weighted avg,0.8000550890403245,0.7999219968798752,0.7998998078153859,2564.0
banglasarc_binary,validation,0,0.9873417721518988,0.9873417721518988,0.9873417721518988,316.0
banglasarc_binary,validation,1,0.9794871794871794,0.9794871794871794,0.9794871794871794,195.0
banglasarc_binary,validation,macro avg,0.9834144758195391,0.9834144758195391,0.9834144758195391,511.0
banglasarc_binary,validation,weighted avg,0.9843444227005871,0.9843444227005871,0.9843444227005871,511.0
banglasarc_binary,test,0,0.9843260188087775,0.9936708860759493,0.988976377952756,316.0
banglasarc_binary,test,1,0.9896373056994818,0.9744897959183674,0.9820051413881749,196.0
banglasarc_binary,test,macro avg,0.9869816622541296,0.9840803409971584,0.9854907596704654,512.0
banglasarc_binary,test,weighted avg,0.9863592458216253,0.986328125,0.9863077014553773,512.0
banglasarc3_binary,validation,0,0.75,0.800498753117207,0.7744270205066345,401.0
banglasarc3_binary,validation,1,0.786096256684492,0.7331670822942643,0.7587096774193548,401.0
banglasarc3_binary,validation,macro avg,0.768048128342246,0.7668329177057356,0.7665683489629946,802.0
banglasarc3_binary,validation,weighted avg,0.768048128342246,0.7668329177057357,0.7665683489629948,802.0
banglasarc3_binary,test,0,0.7283653846153846,0.7556109725685786,0.7417380660954712,401.0
banglasarc3_binary,test,1,0.7461139896373057,0.7182044887780549,0.7318932655654383,401.0
banglasarc3_binary,test,macro avg,0.7372396871263451,0.7369077306733167,0.7368156658304548,802.0
banglasarc3_binary,test,weighted avg,0.737239687126345,0.7369077306733167,0.7368156658304548,802.0
