dataset,split,label_or_avg,precision,recall,f1-score,support
banglasarc3_binary,test,0,0.7741116751269036,0.7605985037406484,0.7672955974842768,401.0
banglasarc3_binary,test,1,0.7647058823529411,0.7780548628428927,0.7713226205191595,401.0
banglasarc3_binary,test,macro avg,0.7694087787399224,0.7693266832917706,0.7693091090017181,802.0
banglasarc3_binary,test,weighted avg,0.7694087787399224,0.7693266832917706,0.7693091090017182,802.0
banglasarc3_binary,val,0,0.7938931297709924,0.7780548628428927,0.7858942065491183,401.0
banglasarc3_binary,val,1,0.78239608801956,0.7980049875311721,0.7901234567901234,401.0
banglasarc3_binary,val,macro avg,0.7881446088952762,0.7880299251870324,0.7880088316696209,802.0
banglasarc3_binary,val,weighted avg,0.788144608895276,0.7880299251870324,0.788008831669621,802.0
banglasarc_binary,test,0,0.9813084112149533,0.9968354430379747,0.989010989010989,316.0
banglasarc_binary,test,1,0.9947643979057592,0.9693877551020408,0.9819121447028424,196.0
banglasarc_binary,test,macro avg,0.9880364045603562,0.9831115990700077,0.9854615668569158,512.0
banglasarc_binary,test,weighted avg,0.9864595311200274,0.986328125,0.9862934626742766,512.0
banglasarc_binary,val,0,0.987460815047022,0.9968354430379747,0.9921259842519685,316.0
banglasarc_binary,val,1,0.9947916666666666,0.9794871794871794,0.9870801033591732,195.0
banglasarc_binary,val,macro avg,0.9911262408568443,0.9881613112625771,0.9896030438055708,511.0
banglasarc_binary,val,weighted avg,0.9902583024556927,0.9902152641878669,0.9902004524044243,511.0
ben_sarc_binary,test,0,0.8087091757387247,0.8112324492979719,0.8099688473520249,1282.0
ben_sarc_binary,test,1,0.810641627543036,0.8081123244929798,0.809375,1282.0
ben_sarc_binary,test,macro avg,0.8096754016408804,0.8096723868954758,0.8096719236760124,2564.0
ben_sarc_binary,test,weighted avg,0.8096754016408805,0.8096723868954758,0.8096719236760124,2564.0
ben_sarc_binary,val,0,0.8102481985588471,0.7893915756630265,0.7996839193994468,1282.0
ben_sarc_binary,val,1,0.7946768060836502,0.8151326053042122,0.8047747400847132,1282.0
ben_sarc_binary,val,macro avg,0.8024625023212486,0.8022620904836193,0.8022293297420799,2564.0
ben_sarc_binary,val,weighted avg,0.8024625023212486,0.8022620904836193,0.80222932974208,2564.0
