model_tag,dataset,class,precision,recall,f1-score,support
xlm-roberta,ben_sarc_binary,Not Sarcastic,0.7613104524180967,0.7613104524180967,0.7613104524180967,1282.0
xlm-roberta,ben_sarc_binary,Sarcastic,0.7613104524180967,0.7613104524180967,0.7613104524180967,1282.0
xlm-roberta,ben_sarc_binary,macro avg,0.7613104524180967,0.7613104524180967,0.7613104524180967,2564.0
xlm-roberta,ben_sarc_binary,weighted avg,0.7613104524180967,0.7613104524180967,0.7613104524180967,2564.0
xlm-roberta,banglasarc_binary,Not Sarcastic,0.9676375404530745,0.9462025316455697,0.9568,316.0
xlm-roberta,banglasarc_binary,Sarcastic,0.916256157635468,0.9489795918367347,0.9323308270676691,196.0
xlm-roberta,banglasarc_binary,macro avg,0.9419468490442713,0.9475910617411523,0.9445654135338346,512.0
xlm-roberta,banglasarc_binary,weighted avg,0.9479681048432094,0.947265625,0.947432894736842,512.0
xlm-roberta,banglasarc3_binary,Not Sarcastic,0.7390180878552972,0.713216957605985,0.7258883248730964,401.0
xlm-roberta,banglasarc3_binary,Sarcastic,0.7228915662650602,0.7481296758104738,0.7352941176470589,401.0
xlm-roberta,banglasarc3_binary,macro avg,0.7309548270601787,0.7306733167082294,0.7305912212600776,802.0
xlm-roberta,banglasarc3_binary,weighted avg,0.7309548270601788,0.7306733167082294,0.7305912212600776,802.0
mbert,ben_sarc_binary,Not Sarcastic,0.7713801862828111,0.7106084243369735,0.7397482744620382,1282.0
mbert,ben_sarc_binary,Sarcastic,0.7317425885755604,0.7893915756630265,0.7594746716697937,1282.0
mbert,ben_sarc_binary,macro avg,0.7515613874291858,0.75,0.7496114730659159,2564.0
mbert,ben_sarc_binary,weighted avg,0.7515613874291857,0.75,0.7496114730659159,2564.0
mbert,banglasarc_binary,Not Sarcastic,0.9737704918032787,0.939873417721519,0.9565217391304348,316.0
mbert,banglasarc_binary,Sarcastic,0.9082125603864735,0.9591836734693877,0.9330024813895782,196.0
mbert,banglasarc_binary,macro avg,0.940991526094876,0.9495285455954534,0.9447621102600066,512.0
mbert,banglasarc_binary,weighted avg,0.9486740961827829,0.947265625,0.9475182732765131,512.0
mbert,banglasarc3_binary,Not Sarcastic,0.7173396674584323,0.7531172069825436,0.7347931873479319,401.0
mbert,banglasarc3_binary,Sarcastic,0.7401574803149606,0.7032418952618454,0.7212276214833759,401.0
mbert,banglasarc3_binary,macro avg,0.7287485738866964,0.7281795511221945,0.7280104044156539,802.0
mbert,banglasarc3_binary,weighted avg,0.7287485738866964,0.7281795511221946,0.7280104044156539,802.0
sagorsarker-bb,ben_sarc_binary,Not Sarcastic,0.7707808564231738,0.7160686427457098,0.7424181156490093,1282.0
sagorsarker-bb,ben_sarc_binary,Sarcastic,0.7348871085214858,0.7870514820592823,0.760075329566855,1282.0
sagorsarker-bb,ben_sarc_binary,macro avg,0.7528339824723298,0.7515600624024961,0.7512467226079321,2564.0
sagorsarker-bb,ben_sarc_binary,weighted avg,0.7528339824723299,0.7515600624024961,0.7512467226079321,2564.0
sagorsarker-bb,banglasarc_binary,Not Sarcastic,0.970873786407767,0.9493670886075949,0.96,316.0
sagorsarker-bb,banglasarc_binary,Sarcastic,0.9211822660098522,0.9540816326530612,0.9373433583959899,196.0
sagorsarker-bb,banglasarc_binary,macro avg,0.9460280262088097,0.9517243606303281,0.948671679197995,512.0
sagorsarker-bb,banglasarc_binary,weighted avg,0.9518512512554402,0.951171875,0.9513267543859649,512.0
sagorsarker-bb,banglasarc3_binary,Not Sarcastic,0.7248157248157249,0.7356608478802993,0.7301980198019802,401.0
sagorsarker-bb,banglasarc3_binary,Sarcastic,0.7316455696202532,0.7206982543640897,0.7261306532663316,401.0
sagorsarker-bb,banglasarc3_binary,macro avg,0.728230647217989,0.7281795511221945,0.7281643365341559,802.0
sagorsarker-bb,banglasarc3_binary,weighted avg,0.7282306472179891,0.7281795511221946,0.7281643365341559,802.0
muril,ben_sarc_binary,Not Sarcastic,0.7482517482517482,0.8346333853354134,0.7890855457227138,1282.0
muril,ben_sarc_binary,Sarcastic,0.8130511463844797,0.719188767550702,0.7632450331125827,1282.0
muril,ben_sarc_binary,macro avg,0.780651447318114,0.7769110764430578,0.7761652894176483,2564.0
muril,ben_sarc_binary,weighted avg,0.780651447318114,0.7769110764430577,0.7761652894176483,2564.0
muril,banglasarc_binary,Not Sarcastic,0.9721362229102167,0.9936708860759493,0.9827856025039123,316.0
muril,banglasarc_binary,Sarcastic,0.9894179894179894,0.9540816326530612,0.9714285714285714,196.0
muril,banglasarc_binary,macro avg,0.9807771061641031,0.9738762593645053,0.9771070869662419,512.0
muril,banglasarc_binary,weighted avg,0.9787518991514734,0.978515625,0.9784379890453834,512.0
muril,banglasarc3_binary,Not Sarcastic,0.7441860465116279,0.7182044887780549,0.7309644670050761,401.0
muril,banglasarc3_binary,Sarcastic,0.727710843373494,0.7531172069825436,0.7401960784313726,401.0
muril,banglasarc3_binary,macro avg,0.735948444942561,0.7356608478802993,0.7355802727182243,802.0
muril,banglasarc3_binary,weighted avg,0.7359484449425611,0.7356608478802993,0.7355802727182243,802.0
