model_tag,class,precision,recall,f1-score,support
banglabert,Non-Sarcastic,0.576271186440678,0.5935162094763092,0.5847665847665847,401.0
banglabert,Neutral,0.6797066014669927,0.6847290640394089,0.6822085889570552,406.0
banglabert,Sarcastic,0.7227979274611399,0.6957605985037406,0.7090216010165185,401.0
banglabert,macro avg,0.6595919051229369,0.6580019573398196,0.6586655915800528,1208.0
banglabert,weighted avg,0.6596751613164139,0.6581125827814569,0.658763037761249,1208.0
muril,Non-Sarcastic,0.5571030640668524,0.49875311720698257,0.5263157894736842,401.0
muril,Neutral,0.6465116279069767,0.6847290640394089,0.6650717703349283,406.0
muril,Sarcastic,0.684964200477327,0.71571072319202,0.7,401.0
muril,macro avg,0.6295262974837187,0.6330643014794705,0.6304625199362042,1208.0
muril,weighted avg,0.6295966010036825,0.6332781456953642,0.6306057701448082,1208.0
xlm-roberta,Non-Sarcastic,0.5289017341040463,0.456359102244389,0.4899598393574297,401.0
xlm-roberta,Neutral,0.6270022883295194,0.6748768472906403,0.6500593119810202,406.0
xlm-roberta,Sarcastic,0.6423529411764706,0.6807980049875312,0.6610169491525424,401.0
xlm-roberta,macro avg,0.5994189878700121,0.6040113181741869,0.6003453668303308,1208.0
xlm-roberta,weighted avg,0.5995331571599934,0.6043046357615894,0.6005511364708551,1208.0
mbert,Non-Sarcastic,0.5174129353233831,0.5187032418952618,0.5180572851805728,401.0
mbert,Neutral,0.6190476190476191,0.6724137931034483,0.6446280991735537,406.0
mbert,Sarcastic,0.6986301369863014,0.6359102244389028,0.6657963446475196,401.0
mbert,macro avg,0.6116968971191011,0.6090090864792043,0.6094939096672154,1208.0
mbert,weighted avg,0.6117273222926464,0.609271523178808,0.6096393326370264,1208.0
sagorsarker-bb,Non-Sarcastic,0.5439093484419264,0.47880299251870323,0.5092838196286472,401.0
sagorsarker-bb,Neutral,0.6085011185682326,0.6699507389162561,0.6377491207502931,406.0
sagorsarker-bb,Sarcastic,0.6544117647058824,0.6658354114713217,0.6600741656365884,401.0
sagorsarker-bb,macro avg,0.6022740772386804,0.6048630476354271,0.6023690353385095,1208.0
sagorsarker-bb,weighted avg,0.602299851416369,0.6051324503311258,0.6025154760893862,1208.0
