model_tag,model_name,dataset,val_accuracy,val_macro_f1,val_weighted_f1,val_binary_f1,test_accuracy,test_macro_f1,test_weighted_f1,test_binary_f1,test_precision,test_recall,confusion_matrix,train_samples,epochs,batch_size,lr,max_length,time_seconds
xlm-roberta,xlm-roberta-base,ben_sarc_binary,0.7585803432137286,0.7584345021032318,0.7584345021032318,0.7643700038066236,0.7613104524180967,0.7613104524180967,0.7613104524180967,0.7613104524180967,0.7613104524180967,0.7613104524180967,"[[976, 306], [306, 976]]",20508,3,8,2e-05,128,1880.8
xlm-roberta,xlm-roberta-base,banglasarc_binary,0.9471624266144814,0.9441862158521341,0.9472380929897952,0.9312977099236641,0.947265625,0.9445654135338346,0.947432894736842,0.9323308270676691,0.916256157635468,0.9489795918367347,"[[299, 17], [10, 186]]",4089,3,8,2e-05,128,399.3
xlm-roberta,xlm-roberta-base,banglasarc3_binary,0.7481296758104738,0.7481281094527363,0.7481281094527363,0.7487562189054726,0.7306733167082294,0.7305912212600776,0.7305912212600776,0.7352941176470589,0.7228915662650602,0.7481296758104738,"[[286, 115], [101, 300]]",6413,3,8,2e-05,128,608.7
mbert,bert-base-multilingual-cased,ben_sarc_binary,0.733619344773791,0.7328341552532314,0.7328341552532314,0.7473177950425454,0.75,0.7496114730659159,0.7496114730659159,0.7594746716697937,0.7317425885755604,0.7893915756630265,"[[911, 371], [270, 1012]]",20508,3,8,2e-05,128,1430.6
mbert,bert-base-multilingual-cased,banglasarc_binary,0.9686888454011742,0.9668934240362812,0.9687190205501639,0.9591836734693877,0.947265625,0.9447621102600066,0.9475182732765131,0.9330024813895782,0.9082125603864735,0.9591836734693877,"[[297, 19], [8, 188]]",4089,3,8,2e-05,128,301.8
mbert,bert-base-multilingual-cased,banglasarc3_binary,0.7493765586034913,0.7493574643748396,0.7493574643748397,0.7471698113207547,0.7281795511221946,0.7280104044156539,0.7280104044156539,0.7212276214833759,0.7401574803149606,0.7032418952618454,"[[302, 99], [119, 282]]",6413,3,8,2e-05,128,461.3
sagorsarker-bb,sagorsarker/bangla-bert-base,ben_sarc_binary,0.7476599063962559,0.7469790999857087,0.7469790999857087,0.7601038190582128,0.7515600624024961,0.7512467226079321,0.7512467226079321,0.760075329566855,0.7348871085214858,0.7870514820592823,"[[918, 364], [273, 1009]]",20508,3,8,2e-05,128,1370.7
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc_binary,0.9608610567514677,0.9585361895488478,0.9608610567514677,0.9487179487179487,0.951171875,0.948671679197995,0.9513267543859649,0.9373433583959899,0.9211822660098522,0.9540816326530612,"[[300, 16], [9, 187]]",4089,3,8,2e-05,128,288.1
sagorsarker-bb,sagorsarker/bangla-bert-base,banglasarc3_binary,0.7456359102244389,0.745610598003545,0.745610598003545,0.7481481481481481,0.7281795511221946,0.7281643365341559,0.7281643365341559,0.7261306532663316,0.7316455696202532,0.7206982543640897,"[[295, 106], [112, 289]]",6413,3,8,2e-05,128,441.2
muril,google/muril-base-cased,ben_sarc_binary,0.7792511700468019,0.7785526813726089,0.7785526813726088,0.7661157024793388,0.7769110764430577,0.7761652894176483,0.7761652894176483,0.7632450331125827,0.8130511463844797,0.719188767550702,"[[1070, 212], [360, 922]]",20508,3,8,2e-05,128,1730.5
muril,google/muril-base-cased,banglasarc_binary,0.9804305283757339,0.9792680947744239,0.9804305283757339,0.9743589743589743,0.978515625,0.9771070869662419,0.9784379890453834,0.9714285714285714,0.9894179894179894,0.9540816326530612,"[[314, 2], [9, 187]]",4089,3,8,2e-05,128,369.9
muril,google/muril-base-cased,banglasarc3_binary,0.7718204488778054,0.7717775154995545,0.7717775154995545,0.7749077490774908,0.7356608478802993,0.7355802727182243,0.7355802727182243,0.7401960784313726,0.727710843373494,0.7531172069825436,"[[288, 113], [99, 302]]",6413,3,8,2e-05,128,558.3
