run_id,technique,backbone,backbone_hf,param,dataset,task,test_macro_f1,test_weighted_f1,test_accuracy,val_macro_f1,time_seconds,num_labels
bb_fgm_e03_banglasarc_binary,fgm,banglabert,csebuetnlp/banglabert,0.3,banglasarc,binary,0.9814,0.9824,0.9824,0.9896,720.2,2
bb_fgm_e03_banglasarc3_binary,fgm,banglabert,csebuetnlp/banglabert,0.3,banglasarc3,binary,0.7531,0.7531,0.7531,0.7805,1135.0,2
bb_fgm_e03_banglasarc3_ternary,fgm,banglabert,csebuetnlp/banglabert,0.3,banglasarc3,ternary,0.6618,0.662,0.6639,0.6795,1707.7,3
bb_fgm_e03_ben_sarc_binary,fgm,banglabert,csebuetnlp/banglabert,0.3,ben_sarc,binary,0.8042,0.8042,0.8046,0.7955,3627.9,2
bb_fgm_e05_banglasarc3_ternary,fgm,banglabert,csebuetnlp/banglabert,0.5,banglasarc3,ternary,0.6466,0.6466,0.649,0.6836,1713.0,3
bb_fgm_e08_banglasarc_binary,fgm,banglabert,csebuetnlp/banglabert,0.8,banglasarc,binary,0.9855,0.9863,0.9863,0.9917,728.9,2
bb_fgm_e08_banglasarc3_binary,fgm,banglabert,csebuetnlp/banglabert,0.8,banglasarc3,binary,0.7489,0.7489,0.7494,0.7727,1137.3,2
bb_fgm_e08_banglasarc3_ternary,fgm,banglabert,csebuetnlp/banglabert,0.8,banglasarc3,ternary,0.6509,0.651,0.654,0.671,1705.2,3
bb_fgm_e08_ben_sarc_binary,fgm,banglabert,csebuetnlp/banglabert,0.8,ben_sarc,binary,0.8115,0.8115,0.8116,0.796,3610.2,2
bb_fgm_e10_banglasarc_binary,fgm,banglabert,csebuetnlp/banglabert,1.0,banglasarc,binary,0.9855,0.9863,0.9863,0.9896,730.5,2
bb_fgm_e10_banglasarc3_binary,fgm,banglabert,csebuetnlp/banglabert,1.0,banglasarc3,binary,0.7468,0.7468,0.7469,0.7841,1126.4,2
bb_fgm_e10_banglasarc3_ternary,fgm,banglabert,csebuetnlp/banglabert,1.0,banglasarc3,ternary,0.6544,0.6545,0.6581,0.6667,1692.3,3
bb_fgm_e10_ben_sarc_binary,fgm,banglabert,csebuetnlp/banglabert,1.0,ben_sarc,binary,0.8111,0.8111,0.8112,0.7933,3579.9,2
bb_freelb_k3_banglasarc_binary,freelb,banglabert,csebuetnlp/banglabert,3.0,banglasarc,binary,0.9855,0.9863,0.9863,0.9834,1071.8,2
bb_freelb_k3_banglasarc3_binary,freelb,banglabert,csebuetnlp/banglabert,3.0,banglasarc3,binary,0.7493,0.7493,0.7494,0.7727,1678.3,2
bb_freelb_k3_banglasarc3_ternary,freelb,banglabert,csebuetnlp/banglabert,3.0,banglasarc3,ternary,0.6442,0.6443,0.644,0.6702,2528.0,3
bb_freelb_k3_ben_sarc_binary,freelb,banglabert,csebuetnlp/banglabert,3.0,ben_sarc,binary,0.8056,0.8056,0.8058,0.7984,5355.3,2
bb_fgmawp_banglasarc_binary,fgm_awp,banglabert,csebuetnlp/banglabert,0.5,banglasarc,binary,0.9896,0.9902,0.9902,0.9896,799.2,2
bb_fgmawp_banglasarc3_binary,fgm_awp,banglabert,csebuetnlp/banglabert,0.5,banglasarc3,binary,0.7455,0.7455,0.7456,0.7867,1245.6,2
bb_fgmawp_banglasarc3_ternary,fgm_awp,banglabert,csebuetnlp/banglabert,0.5,banglasarc3,ternary,0.6483,0.6484,0.6515,0.6795,1856.5,3
bb_fgmawp_ben_sarc_binary,fgm_awp,banglabert,csebuetnlp/banglabert,0.5,ben_sarc,binary,0.8126,0.8126,0.8128,0.7968,3929.3,2
muril_fgm_e05_banglasarc_binary,fgm,muril,google/muril-base-cased,0.5,banglasarc,binary,0.9731,0.9746,0.9746,0.9751,1089.3,2
muril_fgm_e05_banglasarc3_binary,fgm,muril,google/muril-base-cased,0.5,banglasarc3,binary,0.7367,0.7367,0.7369,0.7715,1671.0,2
muril_fgm_e05_banglasarc3_ternary,fgm,muril,google/muril-base-cased,0.5,banglasarc3,ternary,0.6142,0.6144,0.62,0.6348,2506.6,3
muril_fgm_e05_ben_sarc_binary,fgm,muril,google/muril-base-cased,0.5,ben_sarc,binary,0.7889,0.7889,0.789,0.7801,15532.8,2
